round_no,round,match_no,rider_code_1,rider_code_2,rider_code_3,winner_code,loser_code,competitors,sprints
1,1/32 Finals,1,N1,N24,NA,1A1,1A2,2,1
1,1/32 Finals,2,N2,N23,NA,2A1,2A2,2,1
1,1/32 Finals,3,N3,N22,NA,3A1,3A2,2,1
1,1/32 Finals,4,N4,N21,NA,4A1,4A2,2,1
1,1/32 Finals,5,N5,N20,NA,5A1,5A2,2,1
1,1/32 Finals,6,N6,N19,NA,6A1,6A2,2,1
1,1/32 Finals,7,N7,N18,NA,7A1,7A2,2,1
1,1/32 Finals,8,N8,N17,NA,8A1,8A2,2,1
1,1/32 Finals,9,N9,N16,NA,9A1,9A2,2,1
1,1/32 Finals,10,N10,N15,NA,10A1,10A2,2,1
1,1/32 Finals,11,N11,N14,NA,11A1,11A2,2,1
1,1/32 Finals,12,N12,N13,NA,12A1,12A2,2,1
2,Repechage 1,13,1A2,8A2,9A2,1B,NA,3,1
2,Repechage 1,14,2A2,7A2,10A2,2B,NA,3,1
2,Repechage 1,15,3A2,6A2,11A2,3B,NA,3,1
2,Repechage 1,16,4A2,5A2,12A2,4B,NA,3,1
3,1/16 Finals,17,1A1,4B,NA,1C1,1C2,2,1
3,1/16 Finals,18,2A1,3B,NA,2C1,2C2,2,1
3,1/16 Finals,19,3A1,2B,NA,3C1,3C2,2,1
3,1/16 Finals,20,4A1,1B,NA,4C1,4C2,2,1
3,1/16 Finals,21,5A1,12A1,NA,5C1,5C2,2,1
3,1/16 Finals,22,6A1,11A1,NA,6C1,6C2,2,1
3,1/16 Finals,23,7A1,10A1,NA,7C1,7C2,2,1
3,1/16 Finals,24,8A1,9A1,NA,8C1,8C2,2,1
4,Repechage 2,25,1C2,8C2,NA,1D1,NA,2,1
4,Repechage 2,26,2C2,7C2,NA,2D1,NA,2,1
4,Repechage 2,27,3C2,6C2,NA,3D1,NA,2,1
4,Repechage 2,28,4C2,5C2,NA,4D1,NA,2,1
5,1/8 Finals,29,1C1,4D1,NA,10,100,2,1
5,1/8 Finals,30,2C1,3D1,NA,20,200,2,1
5,1/8 Finals,31,3C1,2D1,NA,30,300,2,1
5,1/8 Finals,32,4C1,1D1,NA,40,400,2,1
5,1/8 Finals,33,5C1,8C1,NA,50,500,2,1
5,1/8 Finals,34,6C1,7C1,NA,60,600,2,1
6,Repechage 3,35,100,400,500,1F1,NA,3,1
6,Repechage 3,36,200,300,600,2F1,NA,3,1
7,Quarterfinals,37,10,2F1,NA,1G1,NA,2,2
7,Quarterfinals,38,20,1F1,NA,2G1,NA,2,2
7,Quarterfinals,39,30,60,NA,3G1,NA,2,2
7,Quarterfinals,40,40,50,NA,4G1,NA,2,2
8,Semifinals,41,1G1,4G1,NA,1H1,1H2,2,2
8,Semifinals,42,2G1,3G1,NA,2H1,2H2,2,2
9,Finals,43,1H1,2H1,NA,Gold,Silver,2,2
9,Finals,44,1H2,2H2,NA,Bronze,NA,2,2
